id,manufacturer_id,product_code,productName,product_name,description,images,tags,brand,meta_title,meta_description,og_image_url,og_title,og_description
prod_manu_0004_TR180,manu_0004,TR180,"TR180-WH TrySail18カードTシャツ 白 80cm","TR180-WH TrySail18カードTシャツ 白 80cm",,,,,,,,,
prod_manu_0004_TR160,manu_0004,TR160,"TR160-WH 18番手子供T 白 110cm","TR160-WH 18番手子供T 白 110cm",,,,,,,,,
prod_manu_0004_TR150,manu_0004,TR150,"TR150-WH TrysailLight 白130㎝","TR150-WH TrysailLight 白130㎝",,,,,,,,,
prod_manu_0004_TR3200,manu_0004,TR3200,"TR3200-WH スポーツメッシュTシャツ 白 S","TR3200-WH スポーツメッシュTシャツ 白 S",,,,,,,,,
prod_manu_0004_TR3300,manu_0004,TR3300,"TR3300-WH TRYSAIL COOLPASS 白130㎝","TR3300-WH TRYSAIL COOLPASS 白130㎝",,,,,,,,,
prod_manu_0004_CF135,manu_0004,CF135,"CF135W 30番手コンフォートライト白Tシャツ XS","CF135W 30番手コンフォートライト白Tシャツ XS",,,,,,,,,
prod_manu_0004_TR3700,manu_0004,TR3700,"TR3700-WH TRYSAIL COOLPASS 白 XS","TR3700-WH TRYSAIL COOLPASS 白 XS",,,,,,,,,
