id,manufacturer_id,product_code,productName,product_name,description,images,tags,brand,meta_title,meta_description,og_image_url,og_title,og_description
prod_manu_0002_515702,manu_0002,515702,"10.0オンス スウェット スタイ","10.0オンス スウェット スタイ",,,,,,,,,
prod_manu_0002_515802,manu_0002,515802,"5.6オンス ベビ カバーオール","5.6オンス ベビ カバーオール",,,,,,,,,
prod_manu_0002_519801,manu_0002,519801,8.2ozショートスリーブスウェット(裏パ),8.2ozショートスリーブスウェット(裏パ),,,,,,,,,
prod_manu_0002_519901,manu_0002,519901,"8.2オンス スウェット ショーツ(裏パイル)","8.2オンス スウェット ショーツ(裏パイル)",,,,,,,,,
prod_manu_0002_520301,manu_0002,520301,"10.0oz ビッグ フルジップパーカ","10.0oz ビッグ フルジップパーカ",,,,,,,,,
prod_manu_0002_520401,manu_0002,520401,"10.0oz ビッグプルオーバーパーカ","10.0oz ビッグプルオーバーパーカ",,,,,,,,,
prod_manu_0002_520501,manu_0002,520501,"10.0oz ビッグ クルーネック スウェット","10.0oz ビッグ クルーネック スウェット",,,,,,,,,
prod_manu_0002_521301,manu_0002,521301,10.0ozスウェットフルジップパーカ,10.0ozスウェットフルジップパーカ,,,,,,,,,
prod_manu_0002_521302,manu_0002,521302,10.0オンススウェットフルジップパーカ,10.0オンススウェットフルジップパーカ,,,,,,,,,
prod_manu_0002_521401,manu_0002,521401,10.0ozスウェットプルオーバーパーカ,10.0ozスウェットプルオーバーパーカ,,,,,,,,,
prod_manu_0002_521402,manu_0002,521402,10.0オンススウェットプルオーバーパーカ,10.0オンススウェットプルオーバーパーカ,,,,,,,,,
prod_manu_0002_521701,manu_0002,521701,10.0ozスウェトパンツ(裏ハ)(裾シャ),10.0ozスウェトパンツ(裏ハ)(裾シャ),,,,,,,,,
prod_manu_0002_524201,manu_0002,524201,10.0ozラグランCネックSW(裏パ(ガ,10.0ozラグランCネックSW(裏パ(ガ,,,,,,,,,
prod_manu_0002_524501,manu_0002,524501,10.0ozスウェットフルジップSD/JK,10.0ozスウェットフルジップSD/JK,,,,,,,,,
prod_manu_0002_530001,manu_0002,530001,"4.7オンス レギュラー フィット Tシャツ","4.7オンス レギュラー フィット Tシャツ",,,,,,,,,
prod_manu_0002_539701,manu_0002,539701,8.8オンスAPスウェットフルジップパーカ,8.8オンスAPスウェットフルジップパーカ,,,,,,,,,
prod_manu_0002_539801,manu_0002,539801,8.8オンスAPスウェットプルオーバーパーカ,8.8オンスAPスウェットプルオーバーパーカ,,,,,,,,,
prod_manu_0002_539901,manu_0002,539901,8.8オンスAPクルーネックスウェット,8.8オンスAPクルーネックスウェット,,,,,,,,,
prod_manu_0002_549404,manu_0002,549404,"6.2オンス CVC フライス Tシャツ","6.2オンス CVC フライス Tシャツ",,,,,,,,,
prod_manu_0002_550801,manu_0002,550801,"5.6オンス ビッグシルエット Tシャツ","5.6オンス ビッグシルエット Tシャツ",,,,,,,,,
prod_manu_0002_550901,manu_0002,550901,5.6ozビッグLST(1.8インチリブ),5.6ozビッグLST(1.8インチリブ),,,,,,,,,
prod_manu_0002_554301,manu_0002,554301,6.0ozヘヴィーウエイトコットンポロシャツ,6.0ozヘヴィーウエイトコットンポロシャツ,,,,,,,,,
prod_manu_0002_561801,manu_0002,561801,10.0オンスTCスウェットプルオーバパーカ,10.0オンスTCスウェットプルオーバパーカ,,,,,,,,,
prod_manu_0002_562001,manu_0002,562001,10.0オンスTCスウェットフルジップパーカ,10.0オンスTCスウェットフルジップパーカ,,,,,,,,,
prod_manu_0002_562101,manu_0002,562101,"10オンスT/C BOXスウェット ZIPパーカ","10オンスT/C BOXスウェット ZIPパーカ",,,,,,,,,
prod_manu_0002_562401,manu_0002,562401,10.0オンスTCスウェットパンツ,10.0オンスTCスウェットパンツ,,,,,,,,,
prod_manu_0002_562701,manu_0002,562701,10.0オンスTCビッグクルーネックスウェット,10.0オンスTCビッグクルーネックスウェット,,,,,,,,,
prod_manu_0002_563101,manu_0002,563101,10.0オンスTCビッグスウェットPOパーカ,10.0オンスTCビッグスウェットPOパーカ,,,,,,,,,
prod_manu_0002_570001,manu_0002,570001,"4.4ozドライスムースRP Tシャツ","4.4ozドライスムースRP Tシャツ",,,,,,,,,
prod_manu_0002_570031,manu_0002,570031,"4.4ozドライスムースRP Tシャツ","4.4ozドライスムースRP Tシャツ",,,,,,,,,
prod_manu_0002_570201,manu_0002,570201,4.4ozドライスムースRPショーツ,4.4ozドライスムースRPショーツ,,,,,,,,,
prod_manu_0002_570301,manu_0002,570301,4.4ozドライスムースRPスリーブレスシャツ,4.4ozドライスムースRPスリーブレスシャツ,,,,,,,,,
prod_manu_0002_570901,manu_0002,570901,"4.4ozドライスムースRP L/S Tシャツ","4.4ozドライスムースRP L/S Tシャツ",,,,,,,,,
prod_manu_0002_576201,manu_0002,576201,12.0オンススウェットフルジップパーカ,12.0オンススウェットフルジップパーカ,,,,,,,,,
prod_manu_0002_576301,manu_0002,576301,12.0オンススウェットプルオーバーパーカ,12.0オンススウェットプルオーバーパーカ,,,,,,,,,
prod_manu_0002_576401,manu_0002,576401,12.0オンスクルーネックスウェット,12.0オンスクルーネックスウェット,,,,,,,,,
prod_manu_0002_576431,manu_0002,576431,12.0オンスクルーネックスウェット,12.0オンスクルーネックスウェット,,,,,,,,,
prod_manu_0002_576501,manu_0002,576501,12.0オンスヘヴィWスウェットパンツ,12.0オンスヘヴィWスウェットパンツ,,,,,,,,,
prod_manu_0002_576701,manu_0002,576701,12.7ozHWSフルzipパーカ裏パイル,12.7ozHWSフルzipパーカ裏パイル,,,,,,,,,
prod_manu_0002_576801,manu_0002,576801,"12.7ozHWSP/Oパーカ 裏パイル","12.7ozHWSP/Oパーカ 裏パイル",,,,,,,,,
prod_manu_0002_576901,manu_0002,576901,12.7ozHWクルーネックスウェット裏パイル,12.7ozHWクルーネックスウェット裏パイル,,,,,,,,,
prod_manu_0002_578801,manu_0002,578801,"10oz T/C L/Fハーフジップスウェット","10oz T/C L/Fハーフジップスウェット",,,,,,,,,
prod_manu_0002_578901,manu_0002,578901,"10oz T/CL/FスウェットスナップJKT","10oz T/CL/FスウェットスナップJKT",,,,,,,,,
prod_manu_0002_579001,manu_0002,579001,"10oz T/C L/Fスウェットカーディガン","10oz T/C L/Fスウェットカーディガン",,,,,,,,,
prod_manu_0002_579701,manu_0002,579701,15.0ozOEMWスウェットフルZIPパーカ,15.0ozOEMWスウェットフルZIPパーカ,,,,,,,,,
